an,semestru,nume_disciplina,nrcrt,sapt,curs,numarore,numecat,orestud,examin,credite,nume_nota,obligativ,nume_pachet,facultate,specializare,profil_facultate,formainv
1,1,Analiza matematica                                                                                                      ,1,14,CURS      ,2,DF   ,69,examen                        ,5,Nota      ,DI,comun,Facultatea de Constructii                                                                           ,Amenajari si constructii hidrotehnice - (ACH),Inginerie civila -                                                                                  ,LICENTA
1,1,Analiza matematica                                                                                                      ,1,14,SEMINAR   ,2,DF   ,69,examen                        ,5,Nota      ,DI,comun,Facultatea de Constructii                                                                           ,Amenajari si constructii hidrotehnice - (ACH),Inginerie civila -                                                                                  ,LICENTA
1,1,"Algebra liniara, geometrie analitica si diferentiala                                                                    ",2,14,SEMINAR   ,2,DF   ,69,examen                        ,5,Nota      ,DI,comun,Facultatea de Constructii                                                                           ,Amenajari si constructii hidrotehnice - (ACH),Inginerie civila -                                                                                  ,LICENTA
1,1,"Algebra liniara, geometrie analitica si diferentiala                                                                    ",2,14,CURS      ,2,DF   ,69,examen                        ,5,Nota      ,DI,comun,Facultatea de Constructii                                                                           ,Amenajari si constructii hidrotehnice - (ACH),Inginerie civila -                                                                                  ,LICENTA
1,1,Geometrie descriptiva                                                                                                   ,3,14,CURS      ,2,DF   ,69,examen                        ,5,Nota      ,DI,comun,Facultatea de Constructii                                                                           ,Amenajari si constructii hidrotehnice - (ACH),Inginerie civila -                                                                                  ,LICENTA
1,1,Geometrie descriptiva                                                                                                   ,3,14,LABORATOR ,2,DF   ,69,examen                        ,5,Nota      ,DI,comun,Facultatea de Constructii                                                                           ,Amenajari si constructii hidrotehnice - (ACH),Inginerie civila -                                                                                  ,LICENTA
1,1,Informatica aplicata                                                                                                    ,4,14,LABORATOR ,2,DF   ,19,colocviu                      ,3,Nota      ,DI,comun,Facultatea de Constructii                                                                           ,Amenajari si constructii hidrotehnice - (ACH),Inginerie civila -                                                                                  ,LICENTA
1,1,Informatica aplicata                                                                                                    ,4,14,CURS      ,2,DF   ,19,colocviu                      ,3,Nota      ,DI,comun,Facultatea de Constructii                                                                           ,Amenajari si constructii hidrotehnice - (ACH),Inginerie civila -                                                                                  ,LICENTA
1,1,Chimie                                                                                                                  ,5,14,LABORATOR ,2,DF   ,69,examen                        ,5,Nota      ,DI,comun,Facultatea de Constructii                                                                           ,Amenajari si constructii hidrotehnice - (ACH),Inginerie civila -                                                                                  ,LICENTA
1,1,Chimie                                                                                                                  ,5,14,CURS      ,2,DF   ,69,examen                        ,5,Nota      ,DI,comun,Facultatea de Constructii                                                                           ,Amenajari si constructii hidrotehnice - (ACH),Inginerie civila -                                                                                  ,LICENTA
